name,cwes,parent_dataset
toy_test_suite_0,476,toy_test_suite
toy_test_suite_1,476,toy_test_suite
toy_test_suite_2,0,toy_test_suite
toy_test_suite_3,121,toy_test_suite
toy_test_suite_4,0,toy_test_suite
nist_c_test_suite_113,134,nist_c_test_suite
nist_c_test_suite_111,134,nist_c_test_suite
nist_c_test_suite_133,170,nist_c_test_suite
nist_c_test_suite_135,489,nist_c_test_suite
nist_c_test_suite_67,121,nist_c_test_suite
nist_c_test_suite_137,251,nist_c_test_suite
nist_c_test_suite_73,401,nist_c_test_suite
nist_c_test_suite_93,80,nist_c_test_suite
nist_c_test_suite_63,134,nist_c_test_suite
nist_c_test_suite_139,251,nist_c_test_suite
nist_c_test_suite_141,251,nist_c_test_suite
nist_c_test_suite_69,122,nist_c_test_suite
nist_c_test_suite_87,121,nist_c_test_suite
nist_c_test_suite_61,134,nist_c_test_suite
nist_c_test_suite_107,415,nist_c_test_suite
nist_c_test_suite_59,121,nist_c_test_suite
nist_c_test_suite_145,251,nist_c_test_suite
nist_c_test_suite_55,121,nist_c_test_suite
nist_c_test_suite_105,259,nist_c_test_suite
nist_c_test_suite_89,457,nist_c_test_suite
nist_c_test_suite_125,122,nist_c_test_suite
nist_c_test_suite_65,121,nist_c_test_suite
nist_c_test_suite_83,122,nist_c_test_suite
nist_c_test_suite_85,244,nist_c_test_suite
nist_c_test_suite_81,122,nist_c_test_suite
nist_c_test_suite_123,122,nist_c_test_suite
nist_c_test_suite_127,170,nist_c_test_suite
nist_c_test_suite_143,251,nist_c_test_suite
nist_c_test_suite_49,415,nist_c_test_suite
nist_c_test_suite_43,134,nist_c_test_suite
nist_c_test_suite_101,367,nist_c_test_suite
nist_c_test_suite_117,259,nist_c_test_suite
nist_c_test_suite_47,134,nist_c_test_suite
nist_c_test_suite_147,476,nist_c_test_suite
nist_c_test_suite_91,468,nist_c_test_suite
nist_c_test_suite_79,122,nist_c_test_suite
nist_c_test_suite_77,121,nist_c_test_suite
nist_c_test_suite_129,170,nist_c_test_suite
nist_c_test_suite_57,121,nist_c_test_suite
nist_c_test_suite_75,415,nist_c_test_suite
nist_c_test_suite_109,415,nist_c_test_suite
nist_c_test_suite_103,367,nist_c_test_suite
nist_c_test_suite_53,78,nist_c_test_suite
nist_c_test_suite_51,367,nist_c_test_suite
nist_c_test_suite_121,259,nist_c_test_suite
nist_c_test_suite_119,259,nist_c_test_suite
nist_c_test_suite_149,476,nist_c_test_suite
nist_c_test_suite_71,401,nist_c_test_suite
nist_c_test_suite_131,170,nist_c_test_suite
nist_c_test_suite_45,134,nist_c_test_suite
nist_juliet_1,121,nist_juliet
nist_juliet_2,121,nist_juliet
nist_juliet_3,121,nist_juliet
nist_juliet_4,121,nist_juliet
nist_juliet_5,121,nist_juliet
nist_juliet_6,121,nist_juliet
nist_juliet_7,121,nist_juliet
nist_juliet_8,121,nist_juliet
nist_juliet_9,121,nist_juliet
nist_juliet_10,121,nist_juliet
nist_juliet_11,121,nist_juliet
nist_juliet_1,121,nist_juliet
nist_juliet_2,121,nist_juliet
nist_juliet_3,121,nist_juliet
nist_juliet_4,121,nist_juliet
nist_juliet_5,121,nist_juliet
nist_juliet_6,121,nist_juliet
nist_juliet_7,121,nist_juliet
nist_juliet_8,121,nist_juliet
nist_juliet_9,121,nist_juliet
nist_juliet_10,121,nist_juliet
nist_juliet_11,121,nist_juliet
nist_juliet_12,121,nist_juliet
nist_juliet_13,121,nist_juliet
nist_juliet_14,121,nist_juliet
nist_juliet_15,121,nist_juliet
nist_juliet_16,121,nist_juliet
nist_juliet_17,121,nist_juliet
nist_juliet_18,121,nist_juliet
nist_juliet_19,121,nist_juliet
nist_juliet_20,121,nist_juliet
nist_juliet_21,121,nist_juliet
nist_juliet_22,121,nist_juliet
nist_juliet_23,121,nist_juliet
nist_juliet_24,121,nist_juliet
nist_juliet_25,121,nist_juliet
nist_juliet_26,121,nist_juliet
nist_juliet_27,121,nist_juliet
nist_juliet_28,121,nist_juliet
nist_juliet_29,121,nist_juliet
nist_juliet_30,121,nist_juliet
nist_juliet_31,121,nist_juliet
nist_juliet_32,121,nist_juliet
nist_juliet_33,121,nist_juliet
nist_juliet_34,121,nist_juliet
nist_juliet_35,121,nist_juliet
nist_juliet_36,121,nist_juliet
nist_juliet_37,121,nist_juliet
nist_juliet_38,121,nist_juliet
nist_juliet_39,121,nist_juliet
nist_juliet_40,121,nist_juliet
nist_juliet_41,121,nist_juliet
nist_juliet_42,121,nist_juliet
nist_juliet_43,121,nist_juliet
nist_juliet_44,121,nist_juliet
nist_juliet_1,121,nist_juliet
nist_juliet_2,121,nist_juliet
nist_juliet_3,121,nist_juliet
nist_juliet_4,121,nist_juliet
nist_juliet_5,121,nist_juliet
nist_juliet_6,121,nist_juliet
nist_juliet_7,121,nist_juliet
nist_juliet_8,121,nist_juliet
nist_juliet_9,121,nist_juliet
nist_juliet_10,121,nist_juliet
nist_juliet_11,121,nist_juliet
nist_juliet_12,121,nist_juliet
nist_juliet_13,121,nist_juliet
nist_juliet_14,121,nist_juliet
nist_juliet_15,121,nist_juliet
nist_juliet_16,121,nist_juliet
nist_juliet_17,121,nist_juliet
nist_juliet_18,121,nist_juliet
nist_juliet_19,121,nist_juliet
nist_juliet_20,121,nist_juliet
nist_juliet_21,121,nist_juliet
nist_juliet_22,121,nist_juliet
nist_juliet_23,121,nist_juliet
nist_juliet_24,121,nist_juliet
nist_juliet_25,121,nist_juliet
nist_juliet_26,121,nist_juliet
nist_juliet_27,121,nist_juliet
nist_juliet_28,121,nist_juliet
nist_juliet_29,121,nist_juliet
nist_juliet_30,121,nist_juliet
nist_juliet_31,121,nist_juliet
nist_juliet_32,121,nist_juliet
nist_juliet_33,121,nist_juliet
nist_juliet_34,121,nist_juliet
nist_juliet_35,121,nist_juliet
nist_juliet_36,121,nist_juliet
nist_juliet_37,121,nist_juliet
nist_juliet_38,121,nist_juliet
nist_juliet_39,121,nist_juliet
nist_juliet_40,121,nist_juliet
nist_juliet_41,121,nist_juliet
nist_juliet_42,121,nist_juliet
nist_juliet_43,121,nist_juliet
nist_juliet_44,121,nist_juliet
nist_juliet_45,121,nist_juliet
nist_juliet_46,121,nist_juliet
nist_juliet_47,121,nist_juliet
nist_juliet_48,121,nist_juliet
nist_juliet_49,121,nist_juliet
nist_juliet_50,121,nist_juliet
nist_juliet_51,121,nist_juliet
nist_juliet_52,121,nist_juliet
nist_juliet_53,121,nist_juliet
nist_juliet_54,121,nist_juliet
nist_juliet_55,121,nist_juliet
nist_juliet_56,121,nist_juliet
nist_juliet_57,121,nist_juliet
nist_juliet_58,121,nist_juliet
nist_juliet_59,121,nist_juliet
nist_juliet_60,121,nist_juliet
nist_juliet_61,121,nist_juliet
nist_juliet_62,121,nist_juliet
nist_juliet_63,121,nist_juliet
nist_juliet_64,121,nist_juliet
nist_juliet_65,121,nist_juliet
nist_juliet_66,121,nist_juliet
nist_juliet_67,121,nist_juliet
nist_juliet_68,121,nist_juliet
nist_juliet_69,121,nist_juliet
nist_juliet_70,121,nist_juliet
nist_juliet_71,121,nist_juliet
nist_juliet_72,121,nist_juliet
nist_juliet_73,121,nist_juliet
nist_juliet_74,121,nist_juliet
nist_juliet_75,121,nist_juliet
nist_juliet_76,121,nist_juliet
nist_juliet_77,121,nist_juliet
nist_juliet_78,121,nist_juliet
nist_juliet_79,121,nist_juliet
nist_juliet_80,121,nist_juliet
nist_juliet_81,121,nist_juliet
nist_juliet_82,121,nist_juliet
nist_juliet_83,121,nist_juliet
nist_juliet_84,121,nist_juliet
nist_juliet_85,121,nist_juliet
nist_juliet_86,121,nist_juliet
nist_juliet_87,121,nist_juliet
nist_juliet_88,121,nist_juliet
nist_juliet_89,121,nist_juliet
nist_juliet_90,121,nist_juliet
nist_juliet_91,121,nist_juliet
nist_juliet_92,121,nist_juliet
nist_juliet_93,121,nist_juliet
nist_juliet_94,121,nist_juliet
nist_juliet_95,121,nist_juliet
nist_juliet_96,121,nist_juliet
nist_juliet_97,121,nist_juliet
nist_juliet_98,121,nist_juliet
nist_juliet_99,121,nist_juliet
nist_juliet_100,121,nist_juliet
nist_juliet_101,121,nist_juliet
nist_juliet_1,121,nist_juliet
nist_juliet_2,121,nist_juliet
nist_juliet_3,121,nist_juliet
nist_juliet_4,121,nist_juliet
nist_juliet_5,121,nist_juliet
nist_juliet_6,121,nist_juliet
nist_juliet_7,121,nist_juliet
nist_juliet_8,121,nist_juliet
nist_juliet_9,121,nist_juliet
nist_juliet_10,121,nist_juliet
nist_juliet_11,121,nist_juliet
nist_juliet_12,121,nist_juliet
nist_juliet_13,121,nist_juliet
nist_juliet_14,121,nist_juliet
nist_juliet_15,121,nist_juliet
nist_juliet_16,121,nist_juliet
nist_juliet_17,121,nist_juliet
nist_juliet_18,121,nist_juliet
nist_juliet_19,121,nist_juliet
nist_juliet_20,121,nist_juliet
nist_juliet_21,121,nist_juliet
nist_juliet_22,121,nist_juliet
nist_juliet_23,121,nist_juliet
nist_juliet_24,121,nist_juliet
nist_juliet_25,121,nist_juliet
nist_juliet_26,121,nist_juliet
nist_juliet_27,121,nist_juliet
nist_juliet_28,121,nist_juliet
nist_juliet_29,121,nist_juliet
nist_juliet_30,121,nist_juliet
nist_juliet_31,121,nist_juliet
nist_juliet_32,121,nist_juliet
nist_juliet_33,121,nist_juliet
nist_juliet_34,121,nist_juliet
nist_juliet_35,121,nist_juliet
nist_juliet_36,121,nist_juliet
nist_juliet_37,121,nist_juliet
nist_juliet_38,121,nist_juliet
nist_juliet_39,121,nist_juliet
nist_juliet_40,121,nist_juliet
nist_juliet_41,121,nist_juliet
nist_juliet_42,121,nist_juliet
nist_juliet_43,121,nist_juliet
nist_juliet_44,121,nist_juliet
nist_juliet_45,121,nist_juliet
nist_juliet_46,121,nist_juliet
